,0
LNR,715905.5909483046
AKT_DAT_KL,6.204414558055861
ALTER_HH,17.659728482562294
ALTERSKATEGORIE_FEIN,17.601056849519285
ANZ_HAUSHALTE_AKTIV,4.835223277842214
ANZ_HH_TITEL,0.014805339666395797
ANZ_KINDER,0.11888017610825219
ANZ_PERSONEN,1.4002698206061122
ANZ_STATISTISCHE_HAUSHALTE,4.3348667851093
ANZ_TITEL,0.0004596258988122017
BALLRAUM,4.868049804554875
CAMEO_INTL_2015,2.784948620560335
CJT_GESAMTTYP,4.10935956922807
CJT_KATALOGNUTZER,2.6212762055278915
CJT_TYP_1,4.549240689902174
CJT_TYP_2,4.305430668337522
CJT_TYP_3,2.2117805785145626
CJT_TYP_4,2.1854467653438507
CJT_TYP_5,2.052101765508137
CJT_TYP_6,2.519739508166084
D19_GESAMT_OFFLINE_DATUM,9.442844294495846
D19_KONSUMTYP_MAX,6.435295199436667
D19_SOZIALES,0.4112874899607017
D19_TELKO_ONLINE_QUOTE_12,0.010604596123217826
D19_VERSI_DATUM,9.321940275182975
D19_VERSI_OFFLINE_DATUM,9.937396599950958
D19_VERSI_ONLINE_DATUM,9.981361648117689
D19_VERSI_ONLINE_QUOTE_12,0.004699786703605409
DSL_FLAG,0.9974553550091267
EINGEZOGENAM_HH_JAHR,2006.8204338628839
EWDICHTE,3.123886499996725
FINANZ_ANLEGER,4.173633528906825
FINANZ_HAUSBAUER,3.1034922569744334
FINANZ_MINIMALIST,2.114356919273502
FINANZ_SPARER,4.194460081173057
FINANZ_UNAUFFAELLIGER,4.050017866427622
FINANZ_VORSORGER,2.2316834447568485
FINANZTYP,2.3366152418917103
FIRMENDICHTE,3.718609424224936
GEBAEUDETYP,2.820710072590363
GEBAEUDETYP_RASTER,3.9113357181091826
GEMEINDETYP,29.592861412973093
GREEN_AVANTGARDE,0.17281535200796244
HH_DELTA_FLAG,0.07912274159424867
HH_EINKOMMEN_SCORE,4.530410348504676
INNENSTADT,5.45553943405311
